INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
Satisfied with public transport (synthetic index 0-100),"68,0",,,"50,0","78,0",,"68,0","69,0","57,0","68,0","72,0","41,0",,,"79,0",,"75,0","86,0",,"46,0",,,,"89,0","72,0","56,0",,
public transport: very satisfied,"22,0",,,"15,0","31,0",,"24,0","29,0","14,0","13,0","21,0","5,0",,,"43,0",,"30,0","48,0",,"7,0",,,,"46,0","33,0","21,0",,
public transport: rather satisfied,"44,0",,,"34,0","41,0",,"38,0","39,0","40,0","52,0","50,0","36,0",,,"32,0",,"38,0","36,0",,"33,0",,,,"41,0","35,0","30,0",,
public transport: rather unsatisfied,"20,0",,,"32,0","15,0",,"17,0","15,0","24,0","24,0","20,0","36,0",,,"16,0",,"13,0","12,0",,"26,0",,,,"9,0","21,0","19,0",,
public transport: not at all satisfied,"11,0",,,"17,0","6,0",,"12,0","16,0","17,0","7,0","8,0","21,0",,,"4,0",,"10,0","1,0",,"20,0",,,,"2,0","7,0","21,0",,
public transport: no reply,"4,0",,,"2,0","7,0",,"8,0","1,0","5,0","3,0","2,0","2,0",,,"5,0",,"9,0","3,0",,"14,0",,,,"2,0","4,0","9,0",,
public transport: satisfied (rather+strong),"65,0",,,"49,0","72,0",,"62,0","68,0","55,0","66,0","71,0","41,0",,,"75,0",,"68,0","84,0",,"40,0",,,,"87,0","69,0","51,0",,
public transport: unsatisfied (rather+strong),"30,0",,,"49,0","21,0",,"30,0","31,0","41,0","31,0","28,0","57,0",,,"20,0",,"23,0","14,0",,"46,0",,,,"11,0","28,0","40,0",,
Satisfied with schools (synthetic index 0-100),"78,0",,,"83,0","43,0",,"81,0","57,0","72,0","72,0","79,0","57,0",,,"75,0",,"83,0","78,0",,"59,0",,,,"90,0","77,0","71,0",,
schools: very satisfied,"19,0",,,"12,0","4,0",,"32,0","14,0","8,0","10,0","15,0","6,0",,,"21,0",,"20,0","30,0",,"6,0",,,,"28,0","13,0","21,0",,
schools: rather satisfied,"40,0",,,"47,0","25,0",,"28,0","39,0","45,0","42,0","43,0","48,0",,,"29,0",,"37,0","34,0",,"36,0",,,,"42,0","38,0","28,0",,
schools: rather unsatisfied,"11,0",,,"10,0","29,0",,"9,0","23,0","13,0","18,0","11,0","32,0",,,"10,0",,"7,0","15,0",,"18,0",,,,"7,0","13,0","10,0",,
schools: not at all satisfied,"6,0",,,"2,0","10,0",,"6,0","17,0","7,0","2,0","5,0","8,0",,,"6,0",,"4,0","2,0",,"11,0",,,,"1,0","2,0","10,0",,
schools: no reply,"24,0",,,"29,0","32,0",,"25,0","8,0","27,0","28,0","28,0","7,0",,,"34,0",,"32,0","19,0",,"30,0",,,,"22,0","35,0","31,0",,
schools: satisfied (rather+strong),"59,0",,,"59,0","30,0",,"60,0","53,0","53,0","52,0","57,0","53,0",,,"50,0",,"57,0","63,0",,"41,0",,,,"70,0","50,0","49,0",,
schools: unsatisfied (rather+strong),"17,0",,,"12,0","39,0",,"14,0","39,0","20,0","20,0","15,0","40,0",,,"16,0",,"11,0","18,0",,"29,0",,,,"8,0","15,0","20,0",,
Satisfied with hospitals (synthetic index 0-100),"85,0",,,"79,0","83,0",,"35,0","43,0","46,0","66,0","75,0","51,0",,,"85,0",,"85,0","89,0",,"41,0",,,,"63,0","73,0","61,0",,
hospitals: very satisfied,"28,0",,,"24,0","18,0",,"14,0","9,0","9,0","11,0","17,0","5,0",,,"30,0",,"26,0","45,0",,"9,0",,,,"18,0","23,0","18,0",,
hospitals: rather satisfied,"49,0",,,"45,0","46,0",,"19,0","33,0","34,0","52,0","49,0","45,0",,,"48,0",,"49,0","36,0",,"29,0",,,,"40,0","41,0","38,0",,
hospitals: rather unsatisfied,"10,0",,,"15,0","10,0",,"27,0","24,0","34,0","26,0","17,0","37,0",,,"8,0",,"9,0","8,0",,"26,0",,,,"25,0","17,0","22,0",,
hospitals: not at all satisfied,"4,0",,,"3,0","3,0",,"35,0","32,0","17,0","6,0","5,0","11,0",,,"6,0",,"4,0","2,0",,"28,0",,,,"10,0","8,0","14,0",,
hospitals: no reply,"9,0",,,"14,0","24,0",,"5,0","2,0","5,0","5,0","12,0","2,0",,,"8,0",,"12,0","8,0",,"8,0",,,,"9,0","13,0","8,0",,
hospitals: satisfied (rather+strong),"77,0",,,"69,0","64,0",,"33,0","42,0","43,0","63,0","66,0","50,0",,,"78,0",,"75,0","81,0",,"38,0",,,,"57,0","63,0","56,0",,
hospitals: unsatisfied (rather+strong),"14,0",,,"18,0","13,0",,"62,0","56,0","51,0","32,0","22,0","48,0",,,"14,0",,"13,0","10,0",,"54,0",,,,"34,0","24,0","36,0",,
Satisfied with doctors (synthetic index 0-100),"90,0",,,"91,0","82,0",,"64,0","63,0","67,0","75,0","84,0","61,0",,,"87,0",,"84,0","86,0",,"61,0",,,,"95,0","80,0","69,0",,
doctors: very satisfied,"36,0",,,"43,0","30,0",,"25,0","15,0","8,0","13,0","23,0","5,0",,,"38,0",,"40,0","43,0",,"14,0",,,,"43,0","21,0","24,0",,
doctors: rather satisfied,"50,0",,,"44,0","49,0",,"37,0","47,0","57,0","58,0","58,0","54,0",,,"44,0",,"40,0","38,0",,"44,0",,,,"40,0","48,0","41,0",,
doctors: rather unsatisfied,"8,0",,,"7,0","16,0",,"20,0","18,0","23,0","20,0","12,0","34,0",,,"10,0",,"12,0","12,0",,"23,0",,,,"4,0","14,0","19,0",,
doctors: not at all satisfied,"3,0",,,"2,0","2,0",,"15,0","19,0","9,0","4,0","3,0","5,0",,,"2,0",,"3,0","2,0",,"13,0",,,,"1,0","3,0","10,0",,
doctors: no reply,"4,0",,,"4,0","4,0",,"4,0","2,0","3,0","5,0","4,0","3,0",,,"6,0",,"5,0","6,0",,"6,0",,,,"13,0","13,0","7,0",,
doctors: satisfied (rather+strong),"86,0",,,"88,0","79,0",,"61,0","61,0","65,0","71,0","81,0","59,0",,,"82,0",,"80,0","81,0",,"57,0",,,,"83,0","70,0","65,0",,
