INDIC_UR/TIME;Bruxelles / Brussel;Sofia;Praha;København;Berlin;Tallinn;Dublin;Athina;Madrid;Barcelona;Paris;Roma;Riga;Vilnius;Luxembourg (city);Budapest;Rotterdam;Wien;Warszawa;Lisboa;Bucuresti;Ljubljana;Bratislava;Helsinki;Stockholm;London;Zagreb;Istanbul
Satisfied with public transport (synthetic index 0-100);68;;;50;78;;68;69;57;68;72;41;;;79;;75;86;;46;;;;89;72;56;;
Satisfied with schools (synthetic index 0-100);78;;;83;43;;81;57;72;72;79;57;;;75;;83;78;;59;;;;90;77;71;;
Satisfied with hospitals (synthetic index 0-100);85;;;79;83;;35;43;46;66;75;51;;;85;;85;89;;41;;;;63;73;61;;
Satisfied with doctors (synthetic index 0-100);90;;;91;82;;64;63;67;75;84;61;;;87;;84;86;;61;;;;95;80;69;;
Satisfied with green space (synthetic index 0-100);80;;;86;63;;67;35;58;54;76;68;;;87;;71;77;;46;;;;91;91;75;;
Satisfied with sport facilities (synthetic index 0-100);73;;;70;50;;63;51;50;65;68;68;;;80;;82;83;;64;;;;95;84;67;;
Satisfied with cinemas (synthetic index 0-100);85;;;96;91;;88;91;86;90;91;90;;;89;;93;88;;89;;;;97;97;89;;
Satisfied with cultural facilities (synthetic index 0-100);90;;;96;91;;87;77;73;84;95;83;;;89;;95;94;;71;;;;96;97;89;;
Satisfied with public internet access (synthetic index 0-100);78;;;85;79;;86;76;74;75;79;74;;;69;;87;79;;53;;;;85;68;89;;
Satisfied with internet access at home (synthetic index 0-100);84;;;82;88;;86;81;71;68;87;84;;;88;;93;92;;82;;;;93;85;87;;
It is easy to find a good job here (synthetic index 0-100);42;;;45;5;;56;38;17;27;49;16;;;41;;45;33;;8;;;;49;43;54;;
Foreigner here are well integrated (synthetic index 0-100);46;;;30;36;;40;46;28;39;47;54;;;67;;31;41;;40;;;;50;10;60;;
Easy to find good housing at reasonable price (synthetic index 0-100);19;;;1;52;;5;26;11;10;4;12;;;7;;22;27;;18;;;;9;4;9;;
