INDIC_UR/TIME;Satisfied with public transport (synthetic index 0-100);Satisfied with schools (synthetic index 0-100);Satisfied with hospitals (synthetic index 0-100);Satisfied with doctors (synthetic index 0-100);Satisfied with green space (synthetic index 0-100);Satisfied with sport facilities (synthetic index 0-100);Satisfied with cinemas (synthetic index 0-100);Satisfied with cultural facilities (synthetic index 0-100);Satisfied with public internet access (synthetic index 0-100);Satisfied with internet access at home (synthetic index 0-100);It is easy to find a good job here (synthetic index 0-100);Foreigner here are well integrated (synthetic index 0-100);Easy to find good housing at reasonable price (synthetic index 0-100)
Bruxelles / Brussel;68;78;85;90;80;73;85;90;78;84;42;46;19
Sofia;;;;;;;;;;;;;
Praha;;;;;;;;;;;;;
København;50;83;79;91;86;70;96;96;85;82;45;30;1
Berlin;78;43;83;82;63;50;91;91;79;88;5;36;52
Tallinn;;;;;;;;;;;;;
Dublin;68;81;35;64;67;63;88;87;86;86;56;40;5
Athina;69;57;43;63;35;51;91;77;76;81;38;46;26
Madrid;57;72;46;67;58;50;86;73;74;71;17;28;11
Barcelona;68;72;66;75;54;65;90;84;75;68;27;39;10
Paris;72;79;75;84;76;68;91;95;79;87;49;47;4
Roma;41;57;51;61;68;68;90;83;74;84;16;54;12
Riga;;;;;;;;;;;;;
Vilnius;;;;;;;;;;;;;
Luxembourg (city);79;75;85;87;87;80;89;89;69;88;41;67;7
Budapest;;;;;;;;;;;;;
Rotterdam;75;83;85;84;71;82;93;95;87;93;45;31;22
Wien;86;78;89;86;77;83;88;94;79;92;33;41;27
Warszawa;;;;;;;;;;;;;
Lisboa;46;59;41;61;46;64;89;71;53;82;8;40;18
Bucuresti;;;;;;;;;;;;;
Ljubljana;;;;;;;;;;;;;
Bratislava;;;;;;;;;;;;;
Helsinki;89;90;63;95;91;95;97;96;85;93;49;50;9
Stockholm;72;77;73;80;91;84;97;97;68;85;43;10;4
London;56;71;61;69;75;67;89;89;89;87;54;60;9
Zagreb;;;;;;;;;;;;;
Istanbul;;;;;;;;;;;;;
