INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
Satisfied with public transport (synthetic index 0-100),"67,5","25,8","78,6","68,9","86,7","60,3","67,7","77,6","67,2","67,0","76,6","40,0","69,3","69,0","79,1","50,6","82,4","91,9","74,8","62,7","42,7","70,8","34,0","94,9","76,7","72,7","68,1","50,1"
public transport: very satisfied,"24,7","5,6","29,0","20,8","46,2","13,0","35,1","33,3","17,0","18,4","25,4","5,7","30,7","15,9","33,9","12,5","40,0","63,4","24,6","16,7","6,5","17,0","3,6","47,8","27,2","28,1","24,1","17,0"
public transport: rather satisfied,"36,9","17,8","42,5","44,1","34,8","39,5","29,7","36,9","47,9","45,8","49,4","31,8","33,1","42,9","38,8","34,4","37,3","27,4","42,4","38,7","32,8","45,0","25,9","45,2","48,0","39,8","39,9","29,2"
public transport: rather unsatisfied,"18,9","14,8","13,1","17,0","8,0","25,3","15,6","9,3","17,8","23,0","17,1","35,1","14,7","18,7","14,7","31,0","10,8","6,2","16,0","18,3","23,4","14,7","31,9","4,6","17,5","12,8","17,6","23,5"
public transport: not at all satisfied,"10,7","52,5","6,4","12,4","4,4","9,3","15,4","10,9","14,0","8,6","5,7","21,1","13,6","7,8","4,5","14,7","5,8","1,8","6,5","14,7","29,3","10,9","25,3","0,4","5,4","12,8","12,5","22,5"
public transport: no reply,"8,8","9,2","9,0","5,8","6,6","12,9","4,2","9,5","3,4","4,2","2,4","6,3","8,0","14,7","8,2","7,4","6,2","1,2","10,5","11,7","8,0","12,5","13,4","2,0","2,0","6,6","5,9","7,9"
public transport: satisfied (rather+strong),"61,6","23,5","71,6","64,9","81,0","52,6","64,9","70,2","64,9","64,2","74,8","37,5","63,8","58,9","72,6","46,9","77,3","90,8","66,9","55,4","39,3","62,0","29,5","93,1","75,2","67,9","64,0","46,2"
public transport: unsatisfied (rather+strong),"29,6","67,3","19,5","29,3","12,4","34,6","30,9","20,2","31,7","31,6","22,8","56,2","28,3","26,4","19,2","45,7","16,5","8,0","22,6","32,9","52,7","25,5","57,2","5,0","22,8","25,5","30,0","46,0"
Satisfied with schools (synthetic index 0-100),"76,0","47,2","84,4","65,2","52,0","78,3","84,5","40,4","71,2","73,8","83,1","67,2","82,7","55,3","79,0","65,2","88,1","77,8","75,1","69,4","49,2","88,0","75,6","93,9","79,5","75,0","70,7","57,0"
schools: very satisfied,"23,5","8,2","28,8","13,6","10,2","15,8","37,9","13,3","9,6","12,6","17,5","13,4","21,4","9,3","24,5","10,7","28,4","28,3","19,6","12,5","8,0","21,4","8,0","26,5","17,1","23,9","22,7","20,3"
