INDIC_UR/TIME;Bruxelles / Brussel;Sofia;Praha;København;Berlin;Tallinn;Dublin;Athina;Madrid;Barcelona;Paris;Roma;Riga;Vilnius;Luxembourg (city);Budapest;Rotterdam;Wien;Warszawa;Lisboa;Bucuresti;Ljubljana;Bratislava;Helsinki;Stockholm;London;Zagreb;Istanbul
Satisfied with public transport (synthetic index 0-100);67,5;25,8;78,6;68,9;86,7;60,3;67,7;77,6;67,2;67;76,6;40;69,3;69;79,1;50,6;82,4;91,9;74,8;62,7;42,7;70,8;34;94,9;76,7;72,7;68,1;50,1
Satisfied with schools (synthetic index 0-100);76;47,2;84,4;65,2;52;78,3;84,5;40,4;71,2;73,8;83,1;67,2;82,7;55,3;79;65,2;88,1;77,8;75,1;69,4;49,2;88;75,6;93,9;79,5;75;70,7;57
Satisfied with hospitals (synthetic index 0-100);88,1;36;72,7;82,5;79,8;60,4;46,7;45,3;69,3;70,9;79,4;49,7;47;35,6;82,6;49;90,2;90;40,6;56;29,2;72,1;50,8;71,7;82,6;67,6;52,8;52,5
Satisfied with doctors (synthetic index 0-100);90,9;48;78,5;88,2;83,2;56,5;73,7;58,2;75,2;74,8;86,5;65;49,1;40,3;85,7;71;90,6;88,8;47;67,2;44,7;73,2;69,2;73;83,9;78,4;68,2;58,3
Satisfied with green space (synthetic index 0-100);85,4;25,6;65,8;88,2;82;67,8;78,7;32;65,7;59,1;77,6;73,4;75;66,7;84,2;49,7;71,6;83,6;79,1;50,9;52;67,1;36,6;88,2;92,3;86,9;70,8;61
Satisfied with sport facilities (synthetic index 0-100);76,3;31,9;73,6;70,1;73,7;74,8;61,2;60,5;64,3;69,1;68,6;64,7;57,5;55,5;81,3;50,6;90,6;78,5;40,6;60,1;45,8;49,2;38,2;93,9;79;67,8;59;56,5
Satisfied with cinemas (synthetic index 0-100);87,2;86,1;88,1;94,6;91,6;81;93,3;82,7;81,7;86,6;90,4;86,6;84,6;85,5;86;81,6;94,2;93,7;91,2;86,6;64,7;89;85,6;94,7;95,3;84,6;76,2;72,9
Satisfied with cultural facilities (synthetic index 0-100);90,4;60,1;92,1;95,9;93,9;91,8;89,3;70,7;77,7;84,4;94,6;78,1;86;87,4;89,1;89,3;96,5;96,1;83;81,2;77;86,5;78,9;98,4;96,2;87,6;85;66,9
Satisfied with public internet access (synthetic index 0-100);81,6;83,3;79,4;89,7;90,7;91,8;86,9;68,2;80,6;82,8;79,9;72;80,6;83,8;66,4;88,7;85,3;80,9;76,7;66,5;82,5;77,2;82,8;82,6;80,7;92;69,4;56,9
Satisfied with internet access at home (synthetic index 0-100);85,9;91,9;89,8;94;91,5;94,3;84,9;81,2;83,7;85,9;91,8;87,8;91,4;90,3;82,2;88,7;97,5;94,2;89,5;85,8;88,9;92;88,3;98,6;88,9;92,5;86,1;74,8
It is easy to find a good job here (synthetic index 0-100);43,3;45,1;74,8;73,8;12;44,8;70,4;29,3;42;35,8;50;16,4;41,8;37,3;50,1;23,7;58,6;39,6;48,8;19,1;36,4;47,1;60,4;58,2;49,9;58,1;26,9;19,8
Foreigner here are well integrated (synthetic index 0-100);54,9;81,6;68,6;48,1;28,3;57;60,1;40,2;53,7;53,3;52,4;54,8;71,2;71,1;68,2;84,5;38,4;30,8;60,4;64,9;73,9;71,4;75,1;43,1;13,4;56,2;71,1;69,1
Easy to find good housing at reasonable price (synthetic index 0-100);24,8;21,8;16,2;11,8;56,7;19,1;5,6;28,1;31,9;22,8;2,8;9,2;11,4;18,4;5;26,1;23,7;24,8;13,7;12,1;7,1;16,1;8,2;9,3;8,4;11,6;10,4;12,8
