INDIC_UR/TIME;Satisfied with public transport (synthetic index 0-100);Satisfied with schools (synthetic index 0-100);Satisfied with hospitals (synthetic index 0-100);Satisfied with doctors (synthetic index 0-100);Satisfied with green space (synthetic index 0-100);Satisfied with sport facilities (synthetic index 0-100);Satisfied with cinemas (synthetic index 0-100);Satisfied with cultural facilities (synthetic index 0-100);Satisfied with public internet access (synthetic index 0-100);Satisfied with internet access at home (synthetic index 0-100);It is easy to find a good job here (synthetic index 0-100);Foreigner here are well integrated (synthetic index 0-100);Easy to find good housing at reasonable price (synthetic index 0-100)
Bruxelles / Brussel;67,5;76;88,1;90,9;85,4;76,3;87,2;90,4;81,6;85,9;43,3;54,9;24,8
Sofia;25,8;47,2;36;48;25,6;31,9;86,1;60,1;83,3;91,9;45,1;81,6;21,8
Praha;78,6;84,4;72,7;78,5;65,8;73,6;88,1;92,1;79,4;89,8;74,8;68,6;16,2
København;68,9;65,2;82,5;88,2;88,2;70,1;94,6;95,9;89,7;94;73,8;48,1;11,8
Berlin;86,7;52;79,8;83,2;82;73,7;91,6;93,9;90,7;91,5;12;28,3;56,7
Tallinn;60,3;78,3;60,4;56,5;67,8;74,8;81;91,8;91,8;94,3;44,8;57;19,1
Dublin;67,7;84,5;46,7;73,7;78,7;61,2;93,3;89,3;86,9;84,9;70,4;60,1;5,6
Athina;77,6;40,4;45,3;58,2;32;60,5;82,7;70,7;68,2;81,2;29,3;40,2;28,1
Madrid;67,2;71,2;69,3;75,2;65,7;64,3;81,7;77,7;80,6;83,7;42;53,7;31,9
Barcelona;67;73,8;70,9;74,8;59,1;69,1;86,6;84,4;82,8;85,9;35,8;53,3;22,8
Paris;76,6;83,1;79,4;86,5;77,6;68,6;90,4;94,6;79,9;91,8;50;52,4;2,8
Roma;40;67,2;49,7;65;73,4;64,7;86,6;78,1;72;87,8;16,4;54,8;9,2
Riga;69,3;82,7;47;49,1;75;57,5;84,6;86;80,6;91,4;41,8;71,2;11,4
Vilnius;69;55,3;35,6;40,3;66,7;55,5;85,5;87,4;83,8;90,3;37,3;71,1;18,4
Luxembourg (city);79,1;79;82,6;85,7;84,2;81,3;86;89,1;66,4;82,2;50,1;68,2;5
Budapest;50,6;65,2;49;71;49,7;50,6;81,6;89,3;88,7;88,7;23,7;84,5;26,1
Rotterdam;82,4;88,1;90,2;90,6;71,6;90,6;94,2;96,5;85,3;97,5;58,6;38,4;23,7
Wien;91,9;77,8;90;88,8;83,6;78,5;93,7;96,1;80,9;94,2;39,6;30,8;24,8
Warszawa;74,8;75,1;40,6;47;79,1;40,6;91,2;83;76,7;89,5;48,8;60,4;13,7
Lisboa;62,7;69,4;56;67,2;50,9;60,1;86,6;81,2;66,5;85,8;19,1;64,9;12,1
Bucuresti;42,7;49,2;29,2;44,7;52;45,8;64,7;77;82,5;88,9;36,4;73,9;7,1
Ljubljana;70,8;88;72,1;73,2;67,1;49,2;89;86,5;77,2;92;47,1;71,4;16,1
Bratislava;34;75,6;50,8;69,2;36,6;38,2;85,6;78,9;82,8;88,3;60,4;75,1;8,2
Helsinki;94,9;93,9;71,7;73;88,2;93,9;94,7;98,4;82,6;98,6;58,2;43,1;9,3
Stockholm;76,7;79,5;82,6;83,9;92,3;79;95,3;96,2;80,7;88,9;49,9;13,4;8,4
London;72,7;75;67,6;78,4;86,9;67,8;84,6;87,6;92;92,5;58,1;56,2;11,6
Zagreb;68,1;70,7;52,8;68,2;70,8;59;76,2;85;69,4;86,1;26,9;71,1;10,4
Istanbul;50,1;57;52,5;58,3;61;56,5;72,9;66,9;56,9;74,8;19,8;69,1;12,8
