INDIC_UR/TIME;Bruxelles / Brussel;Sofia;Praha;København;Berlin;Tallinn;Dublin;Athina;Madrid;Barcelona;Paris;Roma;Riga;Vilnius;Luxembourg (city);Budapest;Rotterdam;Wien;Warszawa;Lisboa;Bucuresti;Ljubljana;Bratislava;Helsinki;Stockholm;London;Zagreb;Istanbul
Satisfied with public transport (synthetic index 0-100);71,4;49,9;85,4;85,6;73,1;82,5;72,3;68,8;81,8;77,2;84,4;41,4;73,4;69,3;86,2;52,3;91,3;92,8;75,8;75,9;52,1;76,8;67,5;94,4;91,3;80,1;81,7;67,3
Satisfied with schools (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfied with hospitals (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfied with doctors (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfied with green space (synthetic index 0-100);77,3;48;76,6;87,9;83,4;83,9;86,2;23;79,1;58;83,1;67,8;88,9;64,3;91,6;56;84,3;84,6;86,1;54,8;68,1;79;60,7;89,8;91,1;86,6;74,4;64
Satisfied with sport facilities (synthetic index 0-100);77,5;44,7;80,1;70,6;77,1;86,6;77,9;52,1;73,7;73,9;68,1;62,5;53,5;57;90,1;59,9;90,1;83,7;68,3;67,1;40,6;69,7;62;94,9;81;73,7;68,1;62,5
Satisfied with cinemas (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfied with cultural facilities (synthetic index 0-100);91,3;72,6;93,3;96,5;96,9;92,6;94,8;73,5;87,4;87,5;96;76;90,1;86,7;94;94,9;94,3;98,7;93,2;85,4;78,4;92,2;90;98;96,7;95,6;81,9;77,2
Satisfied with public internet access (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfied with internet access at home (synthetic index 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
It is easy to find a good job here (synthetic index 0-100);31,7;52,1;64,5;67,9;20;14,8;17;27,3;21,8;17,4;44,3;13,7;8,3;15,1;53,6;18,5;67,8;49,1;56,6;15,8;33,9;43,9;47,5;53;73,9;47,6;17,3;16,5
Foreigner here are well integrated (synthetic index 0-100);42,7;70,4;61,3;52,4;31;50,3;63,8;20,3;39,5;38,5;55,9;51,7;58,1;66;66,8;78,6;46,7;28,3;65,6;65,2;74,6;73,8;83,2;37,9;42,9;62,4;63,7;63,4
Easy to find good housing at reasonable price (synthetic index 0-100);19,5;39,8;28,8;17,5;55,7;47,5;29,7;32,3;41,6;28,3;2,7;6,1;53,3;53,2;9,7;31,5;38,9;22,7;18,9;10,1;18,9;10,4;18,6;12,5;15,4;14,7;17,1;26
