INDIC_UR/TIME;Satisfied with public transport (synthetic index 0-100);Satisfied with schools (synthetic index 0-100);Satisfied with hospitals (synthetic index 0-100);Satisfied with doctors (synthetic index 0-100);Satisfied with green space (synthetic index 0-100);Satisfied with sport facilities (synthetic index 0-100);Satisfied with cinemas (synthetic index 0-100);Satisfied with cultural facilities (synthetic index 0-100);Satisfied with public internet access (synthetic index 0-100);Satisfied with internet access at home (synthetic index 0-100);It is easy to find a good job here (synthetic index 0-100);Foreigner here are well integrated (synthetic index 0-100);Easy to find good housing at reasonable price (synthetic index 0-100)
Bruxelles / Brussel;71,4;;;;77,3;77,5;;91,3;;;31,7;42,7;19,5
Sofia;49,9;;;;48;44,7;;72,6;;;52,1;70,4;39,8
Praha;85,4;;;;76,6;80,1;;93,3;;;64,5;61,3;28,8
København;85,6;;;;87,9;70,6;;96,5;;;67,9;52,4;17,5
Berlin;73,1;;;;83,4;77,1;;96,9;;;20;31;55,7
Tallinn;82,5;;;;83,9;86,6;;92,6;;;14,8;50,3;47,5
Dublin;72,3;;;;86,2;77,9;;94,8;;;17;63,8;29,7
Athina;68,8;;;;23;52,1;;73,5;;;27,3;20,3;32,3
Madrid;81,8;;;;79,1;73,7;;87,4;;;21,8;39,5;41,6
Barcelona;77,2;;;;58;73,9;;87,5;;;17,4;38,5;28,3
Paris;84,4;;;;83,1;68,1;;96;;;44,3;55,9;2,7
Roma;41,4;;;;67,8;62,5;;76;;;13,7;51,7;6,1
Riga;73,4;;;;88,9;53,5;;90,1;;;8,3;58,1;53,3
Vilnius;69,3;;;;64,3;57;;86,7;;;15,1;66;53,2
Luxembourg (city);86,2;;;;91,6;90,1;;94;;;53,6;66,8;9,7
Budapest;52,3;;;;56;59,9;;94,9;;;18,5;78,6;31,5
Rotterdam;91,3;;;;84,3;90,1;;94,3;;;67,8;46,7;38,9
Wien;92,8;;;;84,6;83,7;;98,7;;;49,1;28,3;22,7
Warszawa;75,8;;;;86,1;68,3;;93,2;;;56,6;65,6;18,9
Lisboa;75,9;;;;54,8;67,1;;85,4;;;15,8;65,2;10,1
Bucuresti;52,1;;;;68,1;40,6;;78,4;;;33,9;74,6;18,9
Ljubljana;76,8;;;;79;69,7;;92,2;;;43,9;73,8;10,4
Bratislava;67,5;;;;60,7;62;;90;;;47,5;83,2;18,6
Helsinki;94,4;;;;89,8;94,9;;98;;;53;37,9;12,5
Stockholm;91,3;;;;91,1;81;;96,7;;;73,9;42,9;15,4
London;80,1;;;;86,6;73,7;;95,6;;;47,6;62,4;14,7
Zagreb;81,7;;;;74,4;68,1;;81,9;;;17,3;63,7;17,1
Istanbul;67,3;;;;64;62,5;;77,2;;;16,5;63,4;26
