Lloc de procedència       ,BARCELONA  ,1. Ciutat  Vella  ,2. Eixample  ,3. Sants-  Montjuïc  ,4. Les Corts  ,5. Sarrià-  S. Gervasi  ,6. Gràcia  ,7. Horta-  Guinardó  ,8. Nou  Barris  ,9. Sant  Andreu  ,10. Sant  Martí  
TOTAL       ,79.616  ,10.254  ,14.523  ,10.556  ,3.707  ,5.958  ,5.528  ,6.060  ,6.588  ,5.862  ,10.580  
Catalunya       ,36.164  ,3.225  ,5.716  ,5.316  ,1.706  ,2.775  ,2.184  ,3.130  ,3.671  ,3.366  ,5.075  
     Baix Llobregat  ,5.230  ,444  ,917  ,873  ,334  ,473  ,331  ,447  ,436  ,331  ,644  
     Resta Barcelonès  ,11.312  ,1.199  ,1.450  ,2.313  ,475  ,320  ,452  ,861  ,1.171  ,1.207  ,1.864  
     Alt Penedès  ,456  ,41  ,68  ,60  ,27  ,32  ,33  ,41  ,46  ,38  ,70  
     Garraf  ,1.070  ,81  ,224  ,151  ,67  ,128  ,83  ,89  ,86  ,59  ,102  
     Maresme  ,2.984  ,233  ,549  ,290  ,147  ,323  ,220  ,268  ,233  ,262  ,459  
     Vallès Occidental  ,5.217  ,413  ,822  ,508  ,184  ,575  ,343  ,521  ,728  ,487  ,636  
     Vallès Oriental  ,2.008  ,139  ,319  ,147  ,69  ,175  ,142  ,197  ,255  ,278  ,287  
     Resta prov. Barcelona  ,1.809  ,138  ,285  ,205  ,77  ,166  ,115  ,184  ,175  ,192  ,272  
     Girona  ,2.540  ,223  ,444  ,271  ,135  ,319  ,204  ,199  ,223  ,197  ,325  
     Lleida  ,1.034  ,81  ,178  ,125  ,69  ,107  ,89  ,105  ,75  ,85  ,120  
     Tarragona  ,2.504  ,233  ,460  ,373  ,122  ,157  ,172  ,218  ,243  ,230  ,296  
Andalusia       ,2.226  ,251  ,384  ,299  ,74  ,83  ,159  ,238  ,247  ,178  ,313  
Aragó       ,991  ,74  ,194  ,108  ,84  ,69  ,53  ,81  ,91  ,82  ,155  
Astúries (Principat d')       ,276  ,24  ,58  ,35  ,18  ,29  ,26  ,20  ,18  ,24  ,24  
"Balears, les (Illes)       ",1.908  ,216  ,389  ,201  ,115  ,291  ,190  ,111  ,80  ,114  ,201  
Canàries       ,841  ,131  ,167  ,110  ,46  ,53  ,55  ,47  ,44  ,74  ,114  
Cantàbria       ,191  ,10  ,45  ,28  ,18  ,9  ,23  ,9  ,13  ,9  ,27  
Castella-La Manxa       ,542  ,59  ,80  ,66  ,27  ,16  ,41  ,54  ,68  ,48  ,83  
Castella i Lleó       ,857  ,85  ,176  ,105  ,29  ,31  ,65  ,89  ,75  ,73  ,129  
"País Basc, el       ",650  ,126  ,119  ,97  ,16  ,43  ,59  ,43  ,35  ,24  ,88  
Extremadura       ,254  ,19  ,32  ,28  ,8  ,9  ,22  ,25  ,39  ,21  ,51  
Galícia       ,975  ,118  ,176  ,128  ,43  ,42  ,105  ,75  ,88  ,55  ,145  
Madrid (Comunitat de)       ,2.636  ,303  ,582  ,295  ,130  ,272  ,167  ,154  ,184  ,175  ,374  
Múrcia (Regió de)       ,374  ,33  ,69  ,61  ,15  ,14  ,30  ,29  ,44  ,25  ,54  
Navarra (Comunitat Foral de)       ,323  ,33  ,64  ,32  ,33  ,40  ,29  ,19  ,13  ,26  ,34  
"Rioja, la       ",162  ,19  ,34  ,29  ,7  ,7  ,8  ,10  ,12  ,12  ,24  
"Comunitat Valenciana, la       ",2.496  ,330  ,479  ,394  ,94  ,128  ,193  ,156  ,190  ,170  ,362  
Ceuta-Melilla       ,80  ,14  ,5  ,15  ,4  ,0  ,2  ,3  ,9  ,10  ,18  
Estranger       ,27.670  ,5.184  ,5.754  ,3.209  ,1.240  ,2.047  ,2.117  ,1.767  ,1.667  ,1.376  ,3.309  
     Unió Europea (dels 27)  ,8.008  ,2.000  ,1.760  ,846  ,258  ,576  ,735  ,391  ,213  ,233  ,996  
     Resta Europa  ,1.808  ,210  ,350  ,163  ,113  ,193  ,124  ,142  ,113  ,112  ,288  
     Àfrica  ,1.116  ,187  ,144  ,150  ,46  ,68  ,86  ,78  ,130  ,73  ,154  
     Amèrica  ,10.632  ,963  ,2.620  ,1.158  ,572  ,890  ,839  ,914  ,929  ,643  ,1.104  
     Àsia  ,6.018  ,1.789  ,858  ,884  ,248  ,316  ,329  ,241  ,280  ,314  ,759  
     Oceania  ,88  ,35  ,22  ,8  ,3  ,4  ,4  ,1  ,2  ,1  ,8  
