Districtes,Gen.,Feb.,Mar.,Abr.,Mai.,Jun.,Jul.,Ago.,Set.,Oct.,Nov.,Des.
BARCELONA,112.747,113.736,113.528,113.402,112.585,110.521,110.675,112.381,112.088,112.479,113.319,112.192
1. Ciutat Vella,10.183,10.276,10.128,10.103,9.817,9.552,9.424,9.566,9.471,9.470,9.624,9.525
2. Eixample,16.060,16.142,16.026,16.055,16.014,15.690,15.871,16.146,16.028,15.963,16.083,15.916
3. Sants-Montju√Øc,13.496,13.640,13.589,13.571,13.423,13.160,13.162,13.373,13.401,13.379,13.545,13.322
4. Les Corts,4.489,4.500,4.491,4.449,4.430,4.374,4.415,4.494,4.484,4.460,4.490,4.444
5. Sarri√-Sant Gervasi,5.630,5.630,5.642,5.584,5.499,5.439,5.569,5.643,5.537,5.541,5.582,5.563
6. Gr√cia,7.794,7.776,7.791,7.768,7.732,7.626,7.706,7.881,7.782,7.724,7.740,7.657
7. Horta-Guinard√≥,12.096,12.223,12.220,12.220,12.177,11.986,12.008,12.207,12.173,12.283,12.296,12.225
8. Nou Barris,14.422,14.656,14.679,14.753,14.773,14.454,14.336,14.454,14.612,14.812,14.889,14.744
9. Sant Andreu,11.087,11.253,11.268,11.240,11.139,11.011,11.056,11.267,11.216,11.241,11.289,11.162
10. Sant Mart√≠,17.484,17.632,17.688,17.652,17.573,17.221,17.123,17.345,17.379,17.600,17.772,17.624
No consta,6,8,6,7,8,8,5,5,5,6,9,10
