Estació  ,Mitjana  anual  ,Gen.  ,Feb.  ,Mar.  ,Abr.  ,Mai.  ,Jun.  ,Jul.  ,Ago.  ,Set.  ,Oct.  ,Nov.  ,Des.  
2008  ,50  ,61  ,64  ,47  ,52  ,51  ,51  ,42  ,36  ,46  ,51  ,52  ,51  
2009  ,49  ,49  ,55  ,60  ,49  ,51  ,45  ,39  ,39  ,44  ,52  ,51  ,54  
2010  ,47  ,47  ,53  ,54  ,59  ,45  ,48  ,42  ,31  ,39  ,44  ,47  ,54  
2011  ,48  ,56  ,62  ,51  ,49  ,48  ,40  ,37  ,34  ,43  ,55  ,53  ,44  
2012  ,44  ,51  ,56  ,60  ,37  ,45  ,41  ,35  ,37  ,36  ,43  ,48  ,42  
Gràcia-Sant Gervasi  ,61  ,68  ,74  ,85  ,54  ,63  ,62  ,53  ,55  ,55  ,59  ,54  ,49  
Poblenou  ,42  ,53  ,57  ,53  ,32  ,44  ,32  ,31  ,33  ,34  ,38  ,50  ,47  
Sants  ,37  ,41  ,47  ,46  ,36  ,34  ,32  ,25  ,30  ,28  ,36  ,45  ,39  
Ciutadella  ,42  ,52  ,51  ,53  ,31  ,45  ,39  ,34  ,35  ,36  ,39  ,45  ,42  
Eixample   ,61  ,66  ,74  ,77  ,53  ,61  ,60  ,51  ,48  ,51  ,66  ,68  ,52  
Vall d'Hebron  ,31  ,37  ,42  ,48  ,23  ,32  ,26  ,23  ,26  ,21  ,31  ,33  ,29  
Palau Reial  ,36  ,40  ,46  ,57  ,29  ,37  ,34  ,26  ,29  ,28  ,36  ,40  ,34  
