Districtes  ,TOTAL   ,"Sense estudis  ","Estudis primaris / certificat d'escolaritat / EGB  ","Batxillerat elemental / graduat escolar / ESO / FPI  ","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà  ","Estudis universitaris / CFGS grau superior  ","No consta  "
BARCELONA  ,1407920,114911,290399,280652,351208,370058,692
1. Ciutat Vella  ,93343,7970,26687,17288,17997,23363,38
2. Eixample  ,235183,12008,35367,40116,63681,83907,104
3. Sants-Montjuïc  ,161035,14096,41886,34728,37674,32561,90
4. Les Corts  ,71836,3848,9717,11551,20383,26294,43
5. Sarrià-Sant Gervasi  ,121225,4363,9933,15501,35401,55956,71
6. Gràcia  ,106809,5902,16006,18331,28274,38258,38
7. Horta-Guinardó  ,146750,15655,32555,33146,36820,28476,98
8. Nou Barris  ,144334,20924,42277,35705,29905,15455,68
9. Sant Andreu  ,126709,11326,30395,29508,32547,22887,46
10. Sant Martí  ,200696,18819,45576,44778,48526,42901,96
