DISTRICTE,BARRI 1,BARRI 2,112.192,100,0
1,1,el Raval,4.692,4,2
1,2,el Barri Gòtic,1.333,1,2
1,3,la Barceloneta,1.465,1,3
1,4,Sant Pere,Santa Caterina i la Ribera,2.033,1,8
2,5,el Fort Pienc,1.986,1,8
2,6,la Sagrada Família,3.228,2,9
2,7,la Dreta de l'Eixample,2.166,1,9
2,8,l'Antiga Esquerra de l'Eixample,2.524,2,2
2,9,la Nova Esquerra de l'Eixample,3.465,3,1
2,10,Sant Antoni,2.551,2,3
3,11,el Poble Sec - AEI Parc Montjuïc,3.534,3,1
3,12,la Marina del Prat Vermell - AEI Zona Franca,152,0,1
3,13,la Marina de Port,2.388,2,1
3,14,la Font de la Guatlla,884,0,8
3,15,Hostafrancs,1.073,1,0
3,16,la Bordeta,1.259,1,1
3,17,Sants - Badal,1.408,1,3
3,18,Sants,2.621,2,3
4,19,les Corts,2.701,2,4
4,20,la Maternitat i Sant Ramon,1.392,1,2
4,21,Pedralbes,350,0,3
5,22,Vallvidrera,el Tibidabo i les Planes,133,0,1
5,23,Sarrià,733,0,7
5,24,les Tres Torres,514,0,5
5,25,Sant Gervasi - la Bonanova,863,0,8
5,26,Sant Gervasi - Galvany,1.771,1,6
5,27,el Putxet i el Farró,1.550,1,4
6,28,Vallcarca i els Penitents,978,0,9
6,29,el Coll,414,0,4
6,30,la Salut,818,0,7
6,31,la Vila de Gràcia,3.348,3,0
6,32,el Camp d'en Grassot i Gràcia Nova,2.097,1,9
7,33,el Baix Guinardó,1.606,1,4
7,34,Can Baró,585,0,5
7,35,el Guinardó,2.494,2,2
7,36,la Font d'en Fargues,782,0,7
7,37,el Carmel,2.667,2,4
7,38,la Teixonera,778,0,7
7,39,Sant Genís dels Agudells,464,0,4
7,40,Montbau,336,0,3
7,41,la Vall d'Hebron,358,0,3
7,42,la Clota,25,0,0
7,43,Horta,2.132,1,9
8,44,Vilapicina i la Torre Llobeta,1.947,1,7
8,45,Porta,1.920,1,7
8,46,el Turó de la Peira,1.200,1,1
8,47,Can Peguera,169,0,2
8,48,la Guineueta,1.389,1,2
8,49,Canyelles,677,0,6
8,50,les Roquetes,1.469,1,3
8,51,Verdun,1.126,1,0
8,52,la Prosperitat,2.156,1,9
8,53,la Trinitat Nova,933,0,8
8,54,Torre Baró,256,0,2
8,55,Ciutat Meridiana,1.339,1,2
8,56,Vallbona,156,0,1
9,57,la Trinitat Vella,1.241,1,1
9,58,Baró de Viver,183,0,2
9,59,el Bon Pastor,1.039,0,9
9,60,Sant Andreu,4.209,3,8
9,61,la Sagrera,2.011,1,8
9,62,el Congrés i els Indians,978,0,9
9,63,Navas,1.504,1,3
10,64,el Camp de l'Arpa del Clot,2.850,2,5
10,65,el Clot,1.934,1,7
10,66,el Parc i la Llacuna del Poblenou,926,0,8
10,67,la Vila Olímpica del Poblenou,600,0,5
10,68,el Poblenou,2.070,1,8
10,69,Diagonal Mar i el Front Marítim del Poblenou,982,0,9
10,70,el Besòs i el Maresme,2.252,2,0
10,71,Provençals del Poblenou,1.515,1,4
10,72,Sant Martí de Provençals,2.109,1,9
10,73,la Verneda i la Pau,2.387,2,1
