Districte,barri,BARCELONA 2 2,1.619.839,100,0,Column 4
1,1,el Raval,49.844,65,4,
1,2,el Barri Gòtic,16.754,99,7,
1,3,la Barceloneta,15.745,69,0,
1,4,Sant Pere,Santa Caterina i la Ribera,22.873,89,3,
2,5,el Fort Pienc,32.225,98,0,
2,6,la Sagrada Família,52.007,95,3,
2,7,la Dreta de l'Eixample,43.436,150,1,
2,8,l'Antiga Esquerra de l'Eixample,41.887,119,2,
2,9,la Nova Esquerra de l'Eixample,57.760,105,9,
2,10,Sant Antoni,38.277,94,8,
3,11,el Poble Sec - AEI Parc de Montjuïc,41.380,80,7,
3,12,la Marina del Prat Vermell - AEI Zona Franca,1.046,45,9,
3,13,la Marina de Port,30.256,67,4,
3,14,la Font de la Guatlla,10.236,69,7,
3,15,Hostafrancs,16.094,72,1,
3,16,la Bordeta,18.498,72,9,
3,17,Sants - Badal,24.574,74,3,
3,18,Sants,41.530,85,2,
4,19,les Corts,46.698,129,6,
4,20,la Maternitat i Sant Ramon,23.762,109,3,
4,21,Pedralbes,11.778,240,7,
5,22,Vallvidrera,el Tibidabo i les Planes,4.398,177,5,
5,23,Sarrià,24.362,189,8,
5,24,les Tres Torres,16.008,215,0,
5,25,Sant Gervasi - la Bonanova,24.552,187,9,
5,26,Sant Gervasi - Galvany,46.466,176,0,
5,27,el Putxet i el Farró,29.618,138,2,
6,28,Vallcarca i els Penitents,15.521,113,7,
6,29,el Coll,7.222,92,9,
6,30,la Salut,13.196,117,4,
6,31,la Vila de Gràcia,51.025,102,6,
6,32,el Camp d'en Grassot i Gràcia Nova,34.582,98,6,
7,33,el Baix Guinardó,25.768,85,3,
7,34,Can Baró,8.990,81,4,
7,35,el Guinardó,35.697,89,8,
7,36,la Font d'en Fargues,9.498,107,5,
7,37,el Carmel,32.323,58,5,
7,38,la Teixonera,11.410,71,3,
7,39,Sant Genís dels Agudells,6.922,79,6,
7,40,Montbau,5.090,76,4,
7,41,la Vall d'Hebron,5.545,90,3,
7,42,la Clota,456,78,5,
7,43,Horta,26.816,80,0,
8,44,Vilapicina i la Torre Llobeta,25.584,71,7,
8,45,Porta,24.772,60,5,
8,46,el Turó de la Peira,15.428,56,4,
8,47,Can Peguera,2.242,53,1,
8,48,la Guineueta,15.143,56,1,
8,49,Canyelles,7.144,61,1,
8,50,les Roquetes,16.018,52,8,
8,51,Verdun,12.407,49,5,
8,52,la Prosperitat,26.515,60,0,
8,53,la Trinitat Nova,7.692,38,9,
8,54,Torre Baró,2.178,52,4,
8,55,Ciutat Meridiana,10.709,37,5,
8,56,Vallbona,1.329,52,6,
9,57,la Trinitat Vella,10.487,52,2,
9,58,Baró de Viver,2.393,52,4,
9,59,el Bon Pastor,12.990,67,3,
9,60,Sant Andreu,56.204,77,6,
9,61,la Sagrera,29.038,72,9,
9,62,el Congrés i els Indians,14.112,72,3,
9,63,Navas,21.728,77,0,
10,64,el Camp de l'Arpa del Clot,38.232,81,2,
10,65,el Clot,27.201,78,2,
10,66,el Parc i la Llacuna del Poblenou,14.147,88,9,
10,67,la Vila Olímpica del Poblenou,9.322,146,6,
10,68,el Poblenou,32.816,89,8,
10,69,Diagonal Mar i el Front Marítim del Poblenou,12.701,127,4,
10,70,el Besòs i el Maresme,23.732,52,4,
10,71,Provençals del Poblenou,19.952,80,4,
10,72,Sant Martí de Provençals,26.152,63,5,
10,73,la Verneda i la Pau,29.201,56,8,
