Indicadors       ,Unitats  ,2007  ,2008  ,2009  ,2010  ,2011  
Energia i emissions de gasos d'efecte hivernacle (1)       ,,,,,,
     Consum d'energia primària  ,MWh/any  ,34.162.763  ,30.783.600  ,30.994.911  ,31.432.120  ,30.899.109  
     Consum d'energia final  ,MWh/any  ,19.284.284  ,17.001.780  ,17.624.601  ,17.319.360  ,17.333.735  
     Consum d'energia primària per habitant  ,MWh/any per habitant  ,"21,42  ","19,05  ","19,11  ",-  ,"19,13  "
     Consum d'energia final per habitant  ,MWh/any per habitant  ,"12,09  ","10,52  ","10,87  ","10,70  ","10,73  "
     Distribució del consum d'energia final per sectors  ,,,,,,
         Domèstic  ,%  ,-  ,"27,90  ","31,25  ","35,54  ",-  
         Comercial i serveis  ,%  ,-  ,"29,90  ","30,21  ","28,37  ",-  
         Indústria i altres (2)  ,%  ,-  ,"18,10  ","15,94  ","11,57  ",-  
         Transport  ,%  ,-  ,"24,10  ","22,60  ","24,53  ",-  
     Intensitat energètica (Consum per PIB) (3)  ,MWh/Meuro  ,-  ,"269,44  ",-  ,-  ,-  
     Emissions de CO2 equivalent per habitant (4)(9)  ,TnCO2equiv/any per habitant  ,"3,35  ","2,51  ","2,40  ","2,36  ","2,35  "
Energia renovable       ,,,,,,
     Percentatge d'energia primària consumida d'origen renovable (5)  ,%  ,"0,26  ","0,66  ","1,02  ","1,26  ","1,42  "
     Percentatge d'electricitat consumida generada a partir de fonts renovables (7)  ,%  ,"2,32  ","3,31  ","3,14  ","3,82  ","4,45  "
     Producció local d'ER (6)  ,MWh/any  ,"83.660,35  ","96.531,13  ","122.601,13  ","146.948,74  ","161.369,33  "
     Producció local d'ER per habitant (6)  ,MWh/habitant  ,"0,05  ","0,06  ","0,08  ","0,09  ","0,10  "
     Distribució per tipologies de la producció local d'ER  ,,,,,,
         Biogas (Ecoparc + Garraf) (8)  ,%  ,"42,52  ","36,30  ","45,34  ","46,06  ","44,76  "
         Minihidràulica  ,%  ,"3,99  ","1,52  ","2,68  ","1,77  ","1,61  "
         Solar tèrmica (10)  ,%  ,"51,76  ","54,29  ","40,02  ","41,75  ","42,63  "
         Fotovoltaica (10)  ,%  ,"1,74  ","7,89  ","11,96  ","10,41  ","11,00  "
