Evolució carril bici (km)       ,"140,2  ","146,8  ","159,0  ","181,5  ","186,7  "
Aparcaments de bicicletes       ,,,,,
     En superfície                ,16.450  ,20.402  ,21.387  ,21.673  ,22.245  
     Soterranis  ,,,,,
     BSM  ,924  ,922  ,922  ,1059  ,1079  
     SABA  ,128  ,115  ,83  ,83  ,78  
El bicing       ,,,,,
     Abonats   ,181.962  ,182.062  ,117.523  ,121.819  ,113.787  
     Viatges  ,12.307.828  ,10.769.256  ,11.147.000  ,14.439.902  ,16.165.000  
     Bicicletes  ,6.000  ,6.000  ,6.000  ,6.000  ,6.000  
     Estacions  ,390  ,419  ,420  ,421  ,420  
