INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
Satisfied with public transport (synthetic index 0-100),"71,4","49,9","85,4","85,6","73,1","82,5","72,3","68,8","81,8","77,2","84,4","41,4","73,4","69,3","86,2","52,3","91,3","92,8","75,8","75,9","52,1","76,8","67,5","94,4","91,3","80,1","81,7","67,3"
public transport: very satisfied,"17,8","8,8","28,8","27,1","25,5","22,6","24,2","18,5","22,4","14,1","21,7","3,3","21,1","13,7","34,5","6,4","30,1","53,1","13,9","11,7","7,5","13,3","12,1","41,8","37,4","27,6","38,9","14,5"
public transport: rather satisfied,"47,2","34,0","52,9","55,1","42,9","49,2","45,6","41,9","56,3","59,7","60,8","31,9","43,6","36,4","47,4","41,7","51,9","37,5","54,2","54,2","39,3","55,0","45,4","51,4","49,9","48,0","37,3","45,9"
public transport: rather unsatisfied,"16,4","27,5","9,1","10,6","17,5","11,5","16,3","17,1","13,7","16,3","11,2","30,0","17,2","16,7","10,3","30,0","4,6","4,7","15,6","14,5","26,0","11,2","20,4","4,1","6,5","12,3","11,2","13,5"
public transport: not at all satisfied,"9,7","15,4","4,9","3,2","7,7","3,7","10,4","10,3","3,8","5,5","4,0","19,9","6,2","5,5","2,8","13,8","3,2","2,3","6,1","6,4","17,0","9,4","7,3","1,4","1,8","6,5","5,9","15,8"
public transport: no reply,"8,8","14,3","4,3","4,0","6,4","12,9","3,5","12,2","3,8","4,3","2,3","15,0","11,9","27,6","4,9","8,2","10,2","2,4","10,2","13,1","10,2","11,2","14,9","1,3","4,3","5,5","6,7","10,3"
public transport: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
public transport: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with schools (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
schools: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with hospitals (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitals: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with doctors (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctors: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with green space (synthetic index 0-100),"77,3","48,0","76,6","87,9","83,4","83,9","86,2","23,0","79,1","58,0","83,1","67,8","88,9","64,3","91,6","56,0","84,3","84,6","86,1","54,8","68,1","79,0","60,7","89,8","91,1","86,6","74,4","64,0"
greenspace: very satisfied,"24,6","14,7","24,0","42,2","35,6","28,3","46,4","4,2","21,6","9,9","26,6","17,0","42,0","23,1","49,5","11,3","36,8","43,7","31,6","8,7","16,8","25,0","11,9","33,2","48,6","51,6","37,0","28,5"
greenspace: rather satisfied,"51,5","33,0","51,2","45,6","47,0","53,1","39,5","18,5","57,3","47,9","55,6","50,0","44,5","38,5","41,7","43,1","46,4","39,5","53,5","45,2","49,3","51,9","47,8","55,5","42,0","34,6","37,2","32,9"
greenspace: rather unsatisfied,"15,8","27,9","19,7","10,4","12,1","12,3","9,7","25,7","17,7","31,9","12,7","21,4","8,3","25,6","7,4","30,6","12,4","11,4","11,2","31,6","16,4","16,5","31,1","9,5","7,8","8,1","15,9","16,2"
greenspace: not at all satisfied,"6,6","23,7","3,3","1,7","4,4","3,3","4,0","50,4","3,2","10,0","4,0","10,4","2,5","8,6","1,0","12,2","3,1","3,7","2,6","12,9","14,5","4,0","7,6","0,6","1,1","5,3","9,6","18,3"
greenspace: no reply,"1,5","0,8","1,8","0,2","1,0","2,9","0,3","1,1","0,3","0,3","1,1","1,3","2,6","4,2","0,4","2,8","1,3","1,7","1,2","1,6","2,9","2,6","1,6","1,2","0,6","0,5","0,2","4,1"
greenspace: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenspace: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with sport facilities (synthetic index 0-100),"77,5","44,7","80,1","70,6","77,1","86,6","77,9","52,1","73,7","73,9","68,1","62,5","53,5","57,0","90,1","59,9","90,1","83,7","68,3","67,1","40,6","69,7","62,0","94,9","81,0","73,7","68,1","62,5"
sportfacilities: very satisfied,"14,3","10,6","21,6","19,0","22,2","24,5","29,5","11,9","14,4","12,9","12,8","10,2","9,8","11,1","36,3","7,8","34,0","20,8","12,5","9,5","6,7","12,7","10,7","45,2","19,5","16,9","25,1","16,2"
sportfacilities: rather satisfied,"33,5","20,4","43,1","34,3","40,6","40,8","41,6","30,2","48,3","49,8","38,2","39,2","20,0","27,2","43,0","31,2","41,8","40,9","38,9","37,7","23,2","46,7","36,7","46,8","38,8","40,3","35,0","25,4"
sportfacilities: rather unsatisfied,"10,5","21,0","13,2","16,7","16,5","7,4","13,0","21,2","17,1","17,3","20,1","20,7","16,0","19,3","7,5","16,2","5,8","9,9","17,1","17,3","18,6","18,7","22,7","4,7","10,3","14,0","19,7","10,5"
sportfacilities: not at all satisfied,"3,4","17,4","2,9","5,5","2,1","2,7","7,2","17,5","5,3","4,9","3,8","8,9","9,9","9,6","1,2","9,9","2,5","2,1","6,8","5,9","25,2","7,1","6,4","0,2","3,4","6,4","8,5","14,5"
sportfacilities: no reply,"38,3","30,5","19,2","24,5","18,6","24,6","8,7","19,2","14,9","15,1","25,1","21,1","44,4","32,7","12,0","34,9","15,9","26,3","24,7","29,6","26,3","14,8","23,5","3,1","27,9","22,4","11,8","33,3"
sportfacilities: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportfacilities: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with cinemas (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
